stratum_bmv2 -device_id=1 -chassis_config_file=/tmp/spine2/chassis-config.txt -forwarding_pipeline_configs_file=/tmp/spine2/pipe.txt -persistent_config_dir=/tmp/spine2 -initial_pipeline=/root/dummy.json -cpu_port=255 -external_stratum_urls=0.0.0.0:50004 -local_stratum_url=localhost:51595 -max_num_controllers_per_node=10 -write_req_log_file=/tmp/spine2/write-reqs.txt -logtosyslog=false -logtostderr=true

--------------------------------------------------------------------------------

E0912 00:39:09.077242   136 main.cc:133] Starting bmv2 simple_switch and waiting for P4 pipeline
I0912 00:39:09.082140   136 timer_daemon.cc:100] The timer daemon has been started.
I0912 00:39:09.082443   136 hal.cc:136] Setting up HAL in COLDBOOT mode...
I0912 00:39:09.083786   136 config_monitoring_service.cc:114] Pushing the saved chassis config read from /tmp/spine2/chassis-config.txt...
I0912 00:39:09.089565   136 bmv2_chassis_manager.cc:488] Registered port status callbacks successfully for node 1.
I0912 00:39:09.095371   136 bmv2_chassis_manager.cc:73] Adding port 1 to node 1
I0912 00:39:09.133195   136 bmv2_chassis_manager.cc:73] Adding port 2 to node 1
I0912 00:39:09.172806   136 p4_service.cc:129] Pushing the saved forwarding pipeline configs read from /tmp/spine2/pipe.txt...
E0912 00:39:09.173478   136 utils.cc:119] StratumErrorSpace::ERR_FILE_NOT_FOUND: /tmp/spine2/pipe.txt not found.
E0912 00:39:09.173923   136 utils.cc:75] Return Error: ReadFileToString(filename, &text) failed with StratumErrorSpace::ERR_FILE_NOT_FOUND: /tmp/spine2/pipe.txt not found.
W0912 00:39:09.174130   136 p4_service.cc:138] No saved forwarding pipeline config found at /tmp/spine2/pipe.txt. This is normal when the switch is just installed and no master controller is connected yet.
E0912 00:39:09.175248919     136 server_chttp2.cc:40]        {"created":"@1568248749.175220238","description":"Only 1 addresses added out of total 2 resolved","file":"external/com_github_grpc_grpc/src/core/ext/transport/chttp2/server/chttp2_server.cc","file_line":357,"referenced_errors":[{"created":"@1568248749.175216856","description":"Address family not supported by protocol","errno":97,"file":"external/com_github_grpc_grpc/src/core/lib/iomgr/socket_utils_common_posix.cc","file_line":383,"os_error":"Address family not supported by protocol","syscall":"socket","target_address":"[::1]:51595"}]}
E0912 00:39:09.175601   136 hal.cc:225] Stratum external facing services are listening to 0.0.0.0:50004, localhost:51595...
I0912 00:39:09.282183   173 bmv2_chassis_manager.cc:421] State of port 1 in node 1: UP.
I0912 00:39:09.282580   173 bmv2_chassis_manager.cc:421] State of port 2 in node 1: UP.
I0912 00:42:48.782543   181 p4_service.cc:698] Controller (connection_id: 1, election_id: 20, uri: ipv4:172.19.0.3:34492) is connected as MASTER for node (aka device) with ID 1.
I0912 00:42:48.782883   181 p4_service.cc:698] Controller (connection_id: 1, election_id: 20, uri: ipv4:172.19.0.3:34492) is connected as MASTER for node (aka device) with ID 1.
[00:42:48.987] [bmv2] [W] [thread 199] [P4Runtime] p4::tmp::P4DeviceConfig is deprecated
I0912 00:42:49.021564   199 bmv2_switch.cc:86] P4-based forwarding pipeline config pushed successfully to node with ID 1.
E0912 00:42:49.110950   200 bmv2_switch.cc:201] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E0912 00:42:49.111416   200 bmv2_switch.cc:201] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E0912 00:42:49.112334   200 bmv2_switch.cc:201] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E0912 00:42:49.112582   200 bmv2_switch.cc:201] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E0912 00:42:49.113440   200 bmv2_switch.cc:201] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E0912 00:42:49.114086   200 bmv2_switch.cc:201] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E0912 00:42:49.115231   200 bmv2_switch.cc:201] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E0912 00:42:49.115638   200 bmv2_switch.cc:201] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E0912 00:42:49.118600   200 yang_parse_tree_paths.cc:97] StratumErrorSpace::ERR_INTERNAL: Writing response to stream failed: sync_response: true
E0912 00:42:49.120678   200 yang_parse_tree.cc:70] Return Error: (this->*handler)(event, path, stream) failed with StratumErrorSpace::ERR_INTERNAL: Writing response to stream failed: sync_response: true. 
E0912 00:42:49.120857   200 gnmi_publisher.cc:126] Handler returned non-OK status: StratumErrorSpace::ERR_INTERNAL: Writing response to stream failed: sync_response: true. 
I0912 00:42:49.172071   181 p4_service.cc:698] Controller (connection_id: 1, election_id: 20, uri: ipv4:172.19.0.3:34492) is connected as MASTER for node (aka device) with ID 1.
I0912 00:42:49.253547   199 config_monitoring_service.cc:399] Initial Subscribe request from ipv4:172.19.0.3:34504 over stream 0x7f71e62f84e0.
